n,gamma,rep,sharp_lo,sharp_hi,bf_lo,bf_hi,gap_lo,gap_hi,bf_inside,attained_hi,attained_lo,in_box_hi
50,1.5,0,0.4959200305464023,0.5683019607069459,0.4959200305464025,0.5683019607069457,1.6653345369377348e-16,2.220446049250313e-16,True,4.440892098500626e-16,2.220446049250313e-16,True
50,1.5,1,0.4823439286104468,0.5676497540565099,0.4823439286104469,0.5676497540565099,1.1102230246251565e-16,0.0,True,2.220446049250313e-16,1.6653345369377348e-16,True
50,1.5,2,0.4421442204100634,0.5203535622441949,0.4421442204100634,0.5203535622441946,0.0,3.3306690738754696e-16,True,5.551115123125783e-16,1.6653345369377348e-16,True
50,2.0,0,0.3853814717049981,0.5241373507065846,0.38538147170499804,0.5241373507065846,-5.551115123125783e-17,0.0,True,2.220446049250313e-16,1.1102230246251565e-16,True
50,2.0,1,0.34095631804624243,0.47632019689822036,0.34095631804624243,0.4763201650155301,0.0,3.188269026566104e-08,True,3.3306690738754696e-16,1.1102230246251565e-16,True
50,2.0,2,0.42838489886685976,0.5857688827578535,0.4283848988668596,0.5857688827578537,-1.6653345369377348e-16,-1.1102230246251565e-16,True,2.220446049250313e-16,2.220446049250313e-16,True
50,4.0,0,0.39600834047156125,0.6748529226224101,0.39600834047156125,0.6748529226224099,0.0,2.220446049250313e-16,True,4.440892098500626e-16,2.220446049250313e-16,True
50,4.0,1,0.35326827250145854,0.6127083705022021,0.3532682725014586,0.6127083705022022,5.551115123125783e-17,-1.1102230246251565e-16,True,3.3306690738754696e-16,1.1102230246251565e-16,True
50,4.0,2,0.3865709532178015,0.6554546105335163,0.38657095321780166,0.6554546105335167,1.6653345369377348e-16,-4.440892098500626e-16,True,1.1102230246251565e-16,5.551115123125783e-17,True
50,8.0,0,0.3101783004030057,0.6625318785629685,0.31017830040300587,0.6625318785629686,1.6653345369377348e-16,-1.1102230246251565e-16,True,3.3306690738754696e-16,5.551115123125783e-17,True
50,8.0,1,0.32193190848345465,0.6772258950683154,0.32193190848345465,0.6772258950683154,0.0,0.0,True,4.440892098500626e-16,1.6653345369377348e-16,True
50,8.0,2,0.2676577260846091,0.6678053566482883,0.267657726084609,0.6678053566482884,-5.551115123125783e-17,-1.1102230246251565e-16,True,3.3306690738754696e-16,1.6653345369377348e-16,True
150,1.5,0,0.4355614296348977,0.5109239149783038,0.43556142963489775,0.5109239149783036,5.551115123125783e-17,2.220446049250313e-16,True,5.551115123125783e-16,2.7755575615628914e-16,True
150,1.5,1,0.4764824690852088,0.5562215039622098,0.4764824697702764,0.5562215039622099,6.850676137482026e-10,-1.1102230246251565e-16,True,3.3306690738754696e-16,2.7755575615628914e-16,True
150,1.5,2,0.4515683100925943,0.544843001378666,0.45156831009259446,0.5448430013786656,1.6653345369377348e-16,4.440892098500626e-16,True,9.992007221626409e-16,3.3306690738754696e-16,True
150,2.0,0,0.3805994242370425,0.523402815947449,0.3805994242370424,0.5234028159474489,-1.1102230246251565e-16,1.1102230246251565e-16,True,6.661338147750939e-16,1.6653345369377348e-16,True
150,2.0,1,0.4057173272426609,0.542366206797441,0.40571732724266085,0.5423662067974409,-5.551115123125783e-17,1.1102230246251565e-16,True,5.551115123125783e-16,5.551115123125783e-17,True
150,2.0,2,0.47095118634598543,0.5949176047073558,0.4709511863459854,0.5949176047073556,-5.551115123125783e-17,2.220446049250313e-16,True,9.992007221626409e-16,4.996003610813204e-16,True
150,4.0,0,0.37835807401972604,0.6333874736258677,0.37835807401972593,0.6333874736258673,-1.1102230246251565e-16,3.3306690738754696e-16,True,5.551115123125783e-16,2.220446049250313e-16,True
150,4.0,1,0.3393710881320863,0.6119567725746267,0.33937108813208633,0.611956772574626,5.551115123125783e-17,6.661338147750939e-16,True,1.2212453270876722e-15,1.6653345369377348e-16,True
150,4.0,2,0.35196867626568407,0.6308851730080979,0.3519686762656842,0.6308851730080979,1.1102230246251565e-16,0.0,True,7.771561172376096e-16,5.551115123125783e-17,True
150,8.0,0,0.31082205131206375,0.6711012243362822,0.3108220513120637,0.6711008606109897,-5.551115123125783e-17,3.6372529244044216e-07,True,8.881784197001252e-16,1.1102230246251565e-16,True
150,8.0,1,0.3204501966991131,0.7021711254330508,0.32045019669911323,0.7021711254330507,1.1102230246251565e-16,1.1102230246251565e-16,True,1.2212453270876722e-15,5.551115123125783e-17,True
150,8.0,2,0.32373341125687694,0.6682608138568084,0.3237334112568768,0.6682608138568085,-1.1102230246251565e-16,-1.1102230246251565e-16,True,7.771561172376096e-16,1.1102230246251565e-16,True
500,1.5,0,0.45379275653720197,0.5381035627163999,0.45379277693599107,0.5381030069998212,2.0398789102316073e-08,5.557165787539731e-07,True,6.661338147750939e-16,5.551115123125783e-16,True
500,1.5,1,0.46799022367463267,0.5496310442279302,0.4679902665115298,0.5496304723844533,4.283689714057459e-08,5.718434769041991e-07,True,7.771561172376096e-16,6.106226635438361e-16,True
500,1.5,2,0.4727728231816444,0.5554780511634618,0.47277295687587895,0.5554779659410748,1.3369423457199048e-07,8.52223870362323e-08,True,5.551115123125783e-16,4.440892098500626e-16,True
500,2.0,0,0.42413771793877963,0.5598161619930172,0.4241383147980374,0.5598147986402471,5.968592577398901e-07,1.3633527701228942e-06,True,6.661338147750939e-16,2.7755575615628914e-16,True
500,2.0,1,0.4297290166918075,0.5736116130583189,0.42972943024507243,0.5736114368620742,4.1355326491077093e-07,1.7619624470555095e-07,True,5.551115123125783e-16,3.3306690738754696e-16,True
500,2.0,2,0.4249668922787382,0.5669669091227039,0.4249673585261813,0.5669663563521153,4.66247443098311e-07,5.527705885244316e-07,True,6.661338147750939e-16,7.216449660063518e-16,True
500,4.0,0,0.37106434485272427,0.6376058247849418,0.37106497548548123,0.6376042636715047,6.306327569594039e-07,1.5611134370763224e-06,True,7.771561172376096e-16,3.3306690738754696e-16,True
