method,risk,auroc,accuracy,balanced_accuracy,brier,obs_risk,obs_auroc,obs_accuracy,obs_balanced_accuracy,obs_brier,auroc_lo,auroc_hi,auroc_width,worstcase_risk,minimax_regret,dataset,seed,gamma0,selection_rate,true_prevalence,abstention_rate,gamma,criterion,direction
ERM-observed,0.5552539330990186,0.652568512499162,0.7291071428571428,0.5764387028984874,0.18564205248057083,0.592843855648475,0.6654862764174401,0.7052780729720156,0.5813527001353336,0.19995589202570893,0.4812625146698206,0.7177819062420786,0.236519391572258,0.7756811787371675,0.13635917090548075,sl_bench,0,2.999294013367573,0.5029375,0.246,,,,
IPW,0.5575396686835014,0.6554112224544423,0.7246428571428571,0.5751752667258905,0.18636947034354176,0.5978471911113612,0.6601748147554867,0.6964222458377612,0.5749555660514032,0.202347911506606,0.4744270528249925,0.718201466371942,0.24377441354694956,0.7941115326444217,0.1565144234915293,sl_bench,0,2.999294013367573,0.5029375,0.246,,,,
AIPW,0.540135570820641,0.6648184508148078,0.7478571428571429,0.5568169055767286,0.178565757459773,0.5757154261762889,0.6754110361089877,0.710237336167198,0.5590565162135327,0.19514447576362629,0.47086091780152217,0.7111395158019933,0.24027859800047113,0.732841875985651,0.09056135974180744,sl_bench,0,2.999294013367573,0.5029375,0.246,,,,
Imputation,0.5313103016912905,0.6725499566109081,0.7578571428571429,0.5498506458467611,0.17529971966586105,0.5709151487510555,0.6831791739349103,0.71413390010627,0.556439948504911,0.1932216076908939,0.48504846953154196,0.713742023852009,0.22869355432046706,0.7100847935381565,0.06170774380997287,sl_bench,0,2.999294013367573,0.5029375,0.246,,,,
Heckman(rho=-0.00),0.5256437676534712,0.6872434355244609,0.7566071428571428,0.5832787647560206,0.1740448020814331,0.5628974747450852,0.6929734880384634,0.726532058094226,0.5880796289338326,0.18967504010768255,0.4743412149338742,0.7095933010749066,0.23525208614103238,0.7279509010497239,0.09294247933755642,sl_bench,0,2.999294013367573,0.5029375,0.246,,,,
DCL(G=1),0.5366900149165015,0.6654108606643461,0.75625,0.5235151560044039,0.17716210427014906,0.5777715185475745,0.6772876269267961,0.704215373715905,0.5265914656194899,0.19610472142887242,0.4887771759250431,0.7253405157268823,0.2365633398018392,0.6984363292926656,0.04165995254017189,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,1.0,risk,two-sided
DCL-reg(G=1),0.5366900149165015,0.6654108606643461,0.75625,0.5235151560044039,0.17716210427014906,0.5777715185475745,0.6772876269267961,0.704215373715905,0.5265914656194899,0.19610472142887242,0.4887771759250431,0.7253405157268823,0.2365633398018392,0.6984363292926656,0.04165995254017189,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,1.0,regret,two-sided
DCL(G=1.5),0.5545858334519502,0.6561404609754513,0.7580357142857143,0.5140103643432027,0.18464719833499532,0.5812383771814408,0.6755026130341938,0.7027984413744244,0.5188586629415569,0.19730013474808292,0.48831204758161734,0.7233035800109189,0.23499153242930154,0.6746590428354646,0.04725425181117038,sl_bench,0,2.999294013367573,0.5029375,0.246,0.06571428571428571,1.5,risk,two-sided
DCL-reg(G=1.5),0.537606958749712,0.6650650167666562,0.75625,0.5235151560044039,0.1775064339121243,0.5779316056926883,0.6773282623469841,0.704215373715905,0.5265914656194899,0.19614981036763673,0.4890272826249357,0.7251931105704731,0.23616582794553737,0.6967179648084955,0.039941588056001766,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,1.5,regret,two-sided
DCL(G=2),0.5725369586517627,0.6457387385116642,0.7573214285714286,0.51062051116654,0.192633663553242,0.5884745441623843,0.6706057504419838,0.7010272759475735,0.5147038384571261,0.20038205406815401,0.4853738242572424,0.7193803246769238,0.2340065004196814,0.664905756363591,0.06806542915476296,sl_bench,0,2.999294013367573,0.5029375,0.246,0.13178571428571428,2.0,risk,two-sided
