target,gamma0,gamma0_cond,leniency_spread,kappa_heterogeneity,gamma_min,gamma_min_q95,gamma_min_boot_lo,recovered_fraction,valid_lower_bound,valid_lower_bound_q95,refutes_MAR
1.0,1.0000000000000764,1.0000000000001767,0.5,0.0,1.0,1.0,1.0,,True,True,False
1.0,1.0000000000000764,1.0000000000001767,0.5,0.3,1.0,1.0,1.0,,True,True,False
1.0,1.000000000000154,1.0000000000002918,1.0,0.0,1.0,1.0,1.0,,True,True,False
1.0,1.000000000000154,1.0000000000002918,1.0,0.3,1.0,1.0,1.0,,True,True,False
1.0,1.0000000000001252,1.0000000000033475,2.0,0.0,1.0,1.0,1.0,,True,True,False
1.0,1.0000000000001252,1.0000000000033475,2.0,0.3,1.0,1.0,1.0,,True,True,False
1.5,1.5080994767528266,1.5181992567172673,0.5,0.0,1.2642000362755799,1.1763819239462112,1.175536651907187,0.3890631413014675,True,True,True
1.5,1.5097438995365355,1.7459870623018965,0.5,0.3,1.341953534182498,1.1966678157627306,1.1956226894694642,0.32215039615025376,True,True,True
1.5,1.5174554450645406,1.5487764357916443,1.0,0.0,1.422240069310052,1.3240355572611788,1.3230070884025207,0.6416151464828628,True,True,True
1.5,1.5172434722529466,1.7870527430335736,1.0,0.3,1.5057105211544723,1.3291415952634433,1.3277017218096052,0.4900949397863561,True,True,True
1.5,1.56298274507881,1.6798378764760844,2.0,0.0,1.5811622766812117,1.5236879223801023,1.523118928555852,0.8119064274751849,True,True,True
1.5,1.5621711816897024,2.0543376418619106,2.0,0.3,1.8709834394984597,1.667884420600952,1.6663763905509745,0.7105403656154846,True,True,True
2.0,2.0398820895622536,2.0803258692464297,0.5,0.0,1.494027479626892,1.275844668294495,1.2740975729810657,0.3325601093061794,True,True,True
2.0,2.0453979931388306,2.59923174833434,0.5,0.3,1.7220840736598697,1.3158489629992918,1.3133222742451236,0.28735079768385563,True,True,True
2.0,2.069391676604266,2.1831858425916493,1.0,0.0,1.8026423020160955,1.5453171524738782,1.5431456099378664,0.5574249650173401,True,True,True
2.0,2.060391068310232,2.737012508706654,1.0,0.3,2.0531481631745967,1.5555773214347317,1.5517699082701712,0.438833276303691,True,True,True
2.0,2.148196189080208,2.556495818464099,2.0,0.0,2.1458130803359925,1.9622870252129097,1.9609900502238067,0.7181799605081688,True,True,True
2.0,2.129688106692798,3.437227183619322,2.0,0.3,2.766777016920866,2.1840655523615466,2.1777651821774033,0.6327125269549497,True,True,True
3.0,3.146301565030147,3.2926318024825605,0.5,0.0,1.8169721345721415,1.379715257501709,1.3772540169302825,0.27010204254748854,True,True,True
3.0,3.1442964617718183,4.642429154693692,0.5,0.3,2.3727635777765044,1.4558197529988322,1.4500483307329473,0.2446325626918625,True,True,True
3.0,3.183961732829346,3.5713660180281637,1.0,0.0,2.3539131256704877,1.8021323262549587,1.7967477887996621,0.46268230526893905,True,True,True
3.0,3.1801022023585563,5.02935041910443,1.0,0.3,2.9714764146958004,1.8449976732648437,1.841222238955969,0.37917507072375933,True,True,True
3.0,3.2543462366374394,4.627835427294781,2.0,0.0,3.0575981605772293,2.5612080455862034,2.5592651881501762,0.6138539519983591,True,True,True
3.0,3.2598313684882214,6.663319383030517,2.0,0.3,4.148518600018943,2.8410113546442566,2.831097093270494,0.5505379724643101,True,True,True
5.0,5.416547156338687,5.912605247357727,0.5,0.0,2.145759592252433,1.4635560042098485,1.4603721251935744,0.2143221965009752,True,True,True
5.0,5.411109289108472,9.013038570975674,0.5,0.3,3.0865411892970593,1.5714434236949886,1.5638403109228733,0.20557614864183887,True,True,True
5.0,5.47363372437529,6.777278015294098,1.0,0.0,3.020466669509513,2.0475689344809465,2.040301960107031,0.37451001310639265,True,True,True
5.0,5.474359975399625,10.056657795493548,1.0,0.3,4.041674205784566,2.120802362702684,2.1142627922447628,0.32570103493004976,True,True,True
5.0,5.568392789033786,10.178537343012165,2.0,0.0,4.346503322263107,3.299622365070515,3.2932665483903016,0.5145100364003571,True,True,True
5.0,5.5995265167053,14.514068877997897,2.0,0.3,6.131757784819848,3.5657014766382753,3.5452067598439037,0.4752540224259686,True,True,True
