gamma,log_gamma,n,seed,excess
1.5,0.4054651081081644,250,0,3.1834487933757316e-05
1.5,0.4054651081081644,250,1,3.469993221627554e-05
1.5,0.4054651081081644,250,2,3.194244975246452e-05
1.5,0.4054651081081644,250,3,3.229304273166811e-05
1.5,0.4054651081081644,250,4,3.6868684215596303e-05
1.5,0.4054651081081644,500,0,3.404584879973527e-05
1.5,0.4054651081081644,500,1,2.6555918602122475e-05
1.5,0.4054651081081644,500,2,7.251705627631111e-05
1.5,0.4054651081081644,500,3,4.084315926999871e-05
1.5,0.4054651081081644,500,4,4.0780499324544195e-05
1.5,0.4054651081081644,1000,0,1.0933206624041958e-05
1.5,0.4054651081081644,1000,1,2.664615148828542e-05
1.5,0.4054651081081644,1000,2,1.0427631189857678e-05
1.5,0.4054651081081644,1000,3,1.405078717309216e-05
1.5,0.4054651081081644,1000,4,1.8584785810515925e-05
1.5,0.4054651081081644,2000,0,7.776958178995486e-06
1.5,0.4054651081081644,2000,1,9.91140780781663e-06
1.5,0.4054651081081644,2000,2,3.890580660526055e-06
1.5,0.4054651081081644,2000,3,8.858987055493373e-06
1.5,0.4054651081081644,2000,4,1.0961885309690445e-05
1.5,0.4054651081081644,4000,0,1.65168565069429e-06
1.5,0.4054651081081644,4000,1,1.4466260322976154e-06
1.5,0.4054651081081644,4000,2,3.6645479606356446e-06
1.5,0.4054651081081644,4000,3,3.680939019035101e-06
1.5,0.4054651081081644,4000,4,9.887617620218947e-07
1.5,0.4054651081081644,8000,0,1.7337361031266596e-06
1.5,0.4054651081081644,8000,1,6.724489263199018e-07
1.5,0.4054651081081644,8000,2,2.2326315072263014e-06
1.5,0.4054651081081644,8000,3,1.2515580853911246e-06
1.5,0.4054651081081644,8000,4,2.4522691850492606e-06
2.0,0.6931471805599453,250,0,0.0002504846855986287
2.0,0.6931471805599453,250,1,0.0003535871208777408
2.0,0.6931471805599453,250,2,0.0001584743025578872
2.0,0.6931471805599453,250,3,0.00024133112031465842
2.0,0.6931471805599453,250,4,0.00048578572602364645
2.0,0.6931471805599453,500,0,0.00017634778797426254
2.0,0.6931471805599453,500,1,6.231165924330817e-05
2.0,0.6931471805599453,500,2,6.031945640749825e-05
2.0,0.6931471805599453,500,3,7.016706720330834e-05
2.0,0.6931471805599453,500,4,8.740328354073235e-05
2.0,0.6931471805599453,1000,0,6.76327706314872e-05
2.0,0.6931471805599453,1000,1,6.50784664144588e-05
2.0,0.6931471805599453,1000,2,1.760901104996826e-05
2.0,0.6931471805599453,1000,3,2.4436593167642684e-05
2.0,0.6931471805599453,1000,4,3.366280872296734e-05
2.0,0.6931471805599453,2000,0,2.3420158924869483e-05
2.0,0.6931471805599453,2000,1,3.236363023484401e-05
2.0,0.6931471805599453,2000,2,2.0636663928819132e-05
2.0,0.6931471805599453,2000,3,1.4687516372124954e-05
2.0,0.6931471805599453,2000,4,1.2945344767700817e-05
2.0,0.6931471805599453,4000,0,1.0597115855048855e-05
2.0,0.6931471805599453,4000,1,7.472568827271431e-06
2.0,0.6931471805599453,4000,2,1.40168540775365e-05
2.0,0.6931471805599453,4000,3,1.1518960480572105e-05
2.0,0.6931471805599453,4000,4,7.595859538467309e-06
2.0,0.6931471805599453,8000,0,2.2947154350028143e-06
2.0,0.6931471805599453,8000,1,6.436475243010165e-06
2.0,0.6931471805599453,8000,2,1.0732463218587895e-05
2.0,0.6931471805599453,8000,3,6.148863906929591e-06
2.0,0.6931471805599453,8000,4,3.985174830578586e-06
3.0,1.0986122886681098,250,0,0.00036943321522231454
3.0,1.0986122886681098,250,1,0.0004559666749514024
3.0,1.0986122886681098,250,2,0.00033679282742338223
3.0,1.0986122886681098,250,3,0.0003279064502276219
3.0,1.0986122886681098,250,4,0.00038563416211978563
3.0,1.0986122886681098,500,0,0.00016601858658982227
3.0,1.0986122886681098,500,1,0.0001866141591866377
3.0,1.0986122886681098,500,2,0.00019143248963016113
3.0,1.0986122886681098,500,3,0.0002052455354858429
3.0,1.0986122886681098,500,4,0.00021022539887427527
3.0,1.0986122886681098,1000,0,0.00013509359923313813
3.0,1.0986122886681098,1000,1,6.635309281077806e-05
3.0,1.0986122886681098,1000,2,4.7337849499173856e-05
3.0,1.0986122886681098,1000,3,6.335198268325737e-05
3.0,1.0986122886681098,1000,4,0.00010973394141511328
3.0,1.0986122886681098,2000,0,4.732891926240157e-05
3.0,1.0986122886681098,2000,1,4.790553394695696e-05
3.0,1.0986122886681098,2000,2,1.9814682495900016e-05
3.0,1.0986122886681098,2000,3,5.2632737821745046e-05
3.0,1.0986122886681098,2000,4,2.7894794073501927e-05
3.0,1.0986122886681098,4000,0,2.9948667878199053e-05
3.0,1.0986122886681098,4000,1,2.9675680980556507e-05
3.0,1.0986122886681098,4000,2,1.2926334696405917e-05
3.0,1.0986122886681098,4000,3,1.8899892821000464e-05
3.0,1.0986122886681098,4000,4,3.590258582764072e-05
3.0,1.0986122886681098,8000,0,3.1690708073295326e-06
3.0,1.0986122886681098,8000,1,1.1166912748050706e-05
3.0,1.0986122886681098,8000,2,4.379904196438744e-06
3.0,1.0986122886681098,8000,3,3.772337815011184e-06
3.0,1.0986122886681098,8000,4,6.147484047591689e-06
6.0,1.791759469228055,250,0,0.0010083189251587354
6.0,1.791759469228055,250,1,0.0011889297442501112
6.0,1.791759469228055,250,2,0.001096743579449222
6.0,1.791759469228055,250,3,0.0009680530406830368
6.0,1.791759469228055,250,4,0.0007371228817766307
6.0,1.791759469228055,500,0,0.0003269504873373297
6.0,1.791759469228055,500,1,0.0006679777813254351
6.0,1.791759469228055,500,2,0.00018741788108445068
6.0,1.791759469228055,500,3,0.0001792398535342965
6.0,1.791759469228055,500,4,0.00022338745031180718
6.0,1.791759469228055,1000,0,0.00010618850402976943
6.0,1.791759469228055,1000,1,0.00021355765696384754
6.0,1.791759469228055,1000,2,8.583835867559397e-05
6.0,1.791759469228055,1000,3,0.00013546788185581082
6.0,1.791759469228055,1000,4,0.00011871730965029581
6.0,1.791759469228055,2000,0,0.000135070930070591
6.0,1.791759469228055,2000,1,8.765033906299458e-05
6.0,1.791759469228055,2000,2,8.714341415028137e-05
6.0,1.791759469228055,2000,3,3.8896781582087314e-05
6.0,1.791759469228055,2000,4,0.0001569791458361225
6.0,1.791759469228055,4000,0,5.132031589882846e-05
6.0,1.791759469228055,4000,1,4.9116434480800386e-05
6.0,1.791759469228055,4000,2,2.9262029242249632e-05
6.0,1.791759469228055,4000,3,3.172695633046896e-05
6.0,1.791759469228055,4000,4,7.102853142071375e-05
6.0,1.791759469228055,8000,0,1.7123852663947225e-05
6.0,1.791759469228055,8000,1,1.9934801957277593e-05
6.0,1.791759469228055,8000,2,1.25234380460304e-05
6.0,1.791759469228055,8000,3,9.350752612991009e-06
6.0,1.791759469228055,8000,4,2.8686740120353882e-05
12.0,2.4849066497880004,250,0,0.0004644732954754982
12.0,2.4849066497880004,250,1,0.0006010177377764325
12.0,2.4849066497880004,250,2,0.000484800635659699
12.0,2.4849066497880004,250,3,0.0003345354266570677
12.0,2.4849066497880004,250,4,0.0013465938723288273
12.0,2.4849066497880004,500,0,0.00012517794149946582
12.0,2.4849066497880004,500,1,0.00036833077289499805
12.0,2.4849066497880004,500,2,0.00035282999730679165
12.0,2.4849066497880004,500,3,0.00017034554215689113
12.0,2.4849066497880004,500,4,0.00027001189782682733
12.0,2.4849066497880004,1000,0,0.0001804667104744473
12.0,2.4849066497880004,1000,1,0.00014128694759718563
12.0,2.4849066497880004,1000,2,0.00015318068352621061
12.0,2.4849066497880004,1000,3,9.095186314378445e-05
12.0,2.4849066497880004,1000,4,0.00013473826300336444
12.0,2.4849066497880004,2000,0,9.198535699583843e-05
12.0,2.4849066497880004,2000,1,7.481046216573084e-05
12.0,2.4849066497880004,2000,2,3.6438207090316865e-05
12.0,2.4849066497880004,2000,3,0.00010311304094789975
12.0,2.4849066497880004,2000,4,0.00014655207576030893
12.0,2.4849066497880004,4000,0,3.848591071542451e-05
12.0,2.4849066497880004,4000,1,1.905495525855727e-05
12.0,2.4849066497880004,4000,2,5.1767746957143146e-05
12.0,2.4849066497880004,4000,3,4.253700121703563e-05
12.0,2.4849066497880004,4000,4,3.472043840502259e-05
12.0,2.4849066497880004,8000,0,1.0898819177818098e-05
12.0,2.4849066497880004,8000,1,6.1029454363481506e-06
12.0,2.4849066497880004,8000,2,1.0730502646660867e-05
12.0,2.4849066497880004,8000,3,1.3879138822892045e-05
12.0,2.4849066497880004,8000,4,1.8114196493002055e-05
