gamma,log_gamma,B,n,seed,deviation
1.5,0.4054651081081644,5.368755513139748,250,0,0.13690392940384477
1.5,0.4054651081081644,5.368755513139748,250,1,0.13344608414307446
1.5,0.4054651081081644,5.368755513139748,250,2,0.11399572980823636
1.5,0.4054651081081644,5.368755513139748,250,3,0.11953237804903183
1.5,0.4054651081081644,5.368755513139748,250,4,0.1510321810803208
1.5,0.4054651081081644,5.368755513139748,250,5,0.16408604539862992
1.5,0.4054651081081644,5.368755513139748,250,6,0.15134498818188824
1.5,0.4054651081081644,5.368755513139748,250,7,0.17104818307958425
1.5,0.4054651081081644,5.368755513139748,500,0,0.09721956410090304
1.5,0.4054651081081644,5.368755513139748,500,1,0.10210574548247853
1.5,0.4054651081081644,5.368755513139748,500,2,0.10909345768548828
1.5,0.4054651081081644,5.368755513139748,500,3,0.10516322880276374
1.5,0.4054651081081644,5.368755513139748,500,4,0.09117625849459499
1.5,0.4054651081081644,5.368755513139748,500,5,0.10499614489363962
1.5,0.4054651081081644,5.368755513139748,500,6,0.10091296620295442
1.5,0.4054651081081644,5.368755513139748,500,7,0.099683828256389
1.5,0.4054651081081644,5.368755513139748,1000,0,0.09044342090265678
1.5,0.4054651081081644,5.368755513139748,1000,1,0.06295026002062376
1.5,0.4054651081081644,5.368755513139748,1000,2,0.07967735743924531
1.5,0.4054651081081644,5.368755513139748,1000,3,0.04510562852108868
1.5,0.4054651081081644,5.368755513139748,1000,4,0.07587819370792093
1.5,0.4054651081081644,5.368755513139748,1000,5,0.06158050776017321
1.5,0.4054651081081644,5.368755513139748,1000,6,0.10793407725429716
1.5,0.4054651081081644,5.368755513139748,1000,7,0.08139800802501185
1.5,0.4054651081081644,5.368755513139748,2000,0,0.053222961867648966
1.5,0.4054651081081644,5.368755513139748,2000,1,0.044545423145394114
1.5,0.4054651081081644,5.368755513139748,2000,2,0.040623539380327145
1.5,0.4054651081081644,5.368755513139748,2000,3,0.054924822142964125
1.5,0.4054651081081644,5.368755513139748,2000,4,0.06086385242157322
1.5,0.4054651081081644,5.368755513139748,2000,5,0.050667836520471354
1.5,0.4054651081081644,5.368755513139748,2000,6,0.05270887797369195
1.5,0.4054651081081644,5.368755513139748,2000,7,0.05009549215713616
1.5,0.4054651081081644,5.368755513139748,4000,0,0.029858730218260243
1.5,0.4054651081081644,5.368755513139748,4000,1,0.04856544346602765
1.5,0.4054651081081644,5.368755513139748,4000,2,0.029532194542932322
1.5,0.4054651081081644,5.368755513139748,4000,3,0.03920252959334802
1.5,0.4054651081081644,5.368755513139748,4000,4,0.02366960849438149
1.5,0.4054651081081644,5.368755513139748,4000,5,0.029814130106901704
1.5,0.4054651081081644,5.368755513139748,4000,6,0.03482199986112522
1.5,0.4054651081081644,5.368755513139748,4000,7,0.027026400016100904
1.5,0.4054651081081644,5.368755513139748,8000,0,0.020136711386628203
1.5,0.4054651081081644,5.368755513139748,8000,1,0.030013643415013114
1.5,0.4054651081081644,5.368755513139748,8000,2,0.01950677617352392
1.5,0.4054651081081644,5.368755513139748,8000,3,0.03500490727598082
1.5,0.4054651081081644,5.368755513139748,8000,4,0.021202640487746116
1.5,0.4054651081081644,5.368755513139748,8000,5,0.02185195926384087
1.5,0.4054651081081644,5.368755513139748,8000,6,0.019166958663151323
1.5,0.4054651081081644,5.368755513139748,8000,7,0.028987670667359744
2.0,0.6931471805599453,5.6564375855915285,250,0,0.14298424893928985
2.0,0.6931471805599453,5.6564375855915285,250,1,0.12460542451766043
2.0,0.6931471805599453,5.6564375855915285,250,2,0.1238177567824954
2.0,0.6931471805599453,5.6564375855915285,250,3,0.10188219578082758
2.0,0.6931471805599453,5.6564375855915285,250,4,0.1852664909004691
2.0,0.6931471805599453,5.6564375855915285,250,5,0.15609800731626877
2.0,0.6931471805599453,5.6564375855915285,250,6,0.15918230874694905
2.0,0.6931471805599453,5.6564375855915285,250,7,0.20883870307652574
2.0,0.6931471805599453,5.6564375855915285,500,0,0.09669741464517556
2.0,0.6931471805599453,5.6564375855915285,500,1,0.0962581646300038
2.0,0.6931471805599453,5.6564375855915285,500,2,0.09001072532995114
